from,month,monthly_sentiment_score
johnny.palmer@enron.com,2010-10,8
johnny.palmer@enron.com,2010-11,1
johnny.palmer@enron.com,2010-12,1
johnny.palmer@enron.com,2011-01,10
johnny.palmer@enron.com,2011-02,13
johnny.palmer@enron.com,2011-03,0
johnny.palmer@enron.com,2011-04,8
johnny.palmer@enron.com,2011-05,3
johnny.palmer@enron.com,2011-06,10
johnny.palmer@enron.com,2011-07,7
johnny.palmer@enron.com,2011-08,10
johnny.palmer@enron.com,2011-09,3
johnny.palmer@enron.com,2011-10,1
johnny.palmer@enron.com,2011-11,3
johnny.palmer@enron.com,2011-12,2
kayne.coulter@enron.com,2010-01,10
kayne.coulter@enron.com,2010-02,3
kayne.coulter@enron.com,2010-03,1
kayne.coulter@enron.com,2010-04,9
kayne.coulter@enron.com,2010-05,3
kayne.coulter@enron.com,2010-06,2
kayne.coulter@enron.com,2010-07,2
kayne.coulter@enron.com,2010-08,5
kayne.coulter@enron.com,2010-09,1
kayne.coulter@enron.com,2010-10,1
kayne.coulter@enron.com,2010-11,3
kayne.coulter@enron.com,2010-12,4
kayne.coulter@enron.com,2011-01,3
kayne.coulter@enron.com,2011-02,5
kayne.coulter@enron.com,2011-03,3
kayne.coulter@enron.com,2011-04,3
kayne.coulter@enron.com,2011-05,1
kayne.coulter@enron.com,2011-06,1
kayne.coulter@enron.com,2011-07,0
kayne.coulter@enron.com,2011-08,1
kayne.coulter@enron.com,2011-09,10
kayne.coulter@enron.com,2011-10,11
kayne.coulter@enron.com,2011-11,9
kayne.coulter@enron.com,2011-12,8
lydia.delgado@enron.com,2010-01,4
lydia.delgado@enron.com,2010-02,1
lydia.delgado@enron.com,2010-03,9
lydia.delgado@enron.com,2010-04,5
lydia.delgado@enron.com,2010-05,7
lydia.delgado@enron.com,2010-06,8
lydia.delgado@enron.com,2010-07,12
lydia.delgado@enron.com,2010-08,6
lydia.delgado@enron.com,2010-09,4
lydia.delgado@enron.com,2010-10,11
lydia.delgado@enron.com,2010-11,7
lydia.delgado@enron.com,2010-12,8
lydia.delgado@enron.com,2011-01,4
lydia.delgado@enron.com,2011-02,16
lydia.delgado@enron.com,2011-03,7
lydia.delgado@enron.com,2011-04,12
lydia.delgado@enron.com,2011-05,16
lydia.delgado@enron.com,2011-06,6
lydia.delgado@enron.com,2011-07,1
lydia.delgado@enron.com,2011-08,8
lydia.delgado@enron.com,2011-09,5
lydia.delgado@enron.com,2011-10,16
lydia.delgado@enron.com,2011-11,2
lydia.delgado@enron.com,2011-12,8
patti.thompson@enron.com,2010-01,6
patti.thompson@enron.com,2010-02,1
patti.thompson@enron.com,2010-03,2
patti.thompson@enron.com,2010-04,4
patti.thompson@enron.com,2010-05,7
patti.thompson@enron.com,2010-06,8
patti.thompson@enron.com,2010-07,0
patti.thompson@enron.com,2010-08,1
patti.thompson@enron.com,2010-09,7
patti.thompson@enron.com,2010-10,9
patti.thompson@enron.com,2010-11,5
patti.thompson@enron.com,2010-12,0
patti.thompson@enron.com,2011-01,3
patti.thompson@enron.com,2011-02,3
patti.thompson@enron.com,2011-03,9
patti.thompson@enron.com,2011-04,6
patti.thompson@enron.com,2011-05,1
patti.thompson@enron.com,2011-06,6
patti.thompson@enron.com,2011-07,17
patti.thompson@enron.com,2011-08,7
patti.thompson@enron.com,2011-09,7
patti.thompson@enron.com,2011-10,3
patti.thompson@enron.com,2011-11,7
patti.thompson@enron.com,2011-12,10
rhonda.denton@enron.com,2010-01,1
rhonda.denton@enron.com,2010-02,2
rhonda.denton@enron.com,2010-03,0
rhonda.denton@enron.com,2010-04,7
rhonda.denton@enron.com,2010-05,4
rhonda.denton@enron.com,2010-06,2
rhonda.denton@enron.com,2010-07,3
rhonda.denton@enron.com,2010-08,11
rhonda.denton@enron.com,2010-09,3
rhonda.denton@enron.com,2010-10,1
rhonda.denton@enron.com,2010-11,8
rhonda.denton@enron.com,2010-12,6
rhonda.denton@enron.com,2011-01,5
rhonda.denton@enron.com,2011-02,5
rhonda.denton@enron.com,2011-03,9
rhonda.denton@enron.com,2011-04,1
rhonda.denton@enron.com,2011-05,8
rhonda.denton@enron.com,2011-06,8
rhonda.denton@enron.com,2011-07,3
rhonda.denton@enron.com,2011-08,1
rhonda.denton@enron.com,2011-09,7
rhonda.denton@enron.com,2011-10,0
rhonda.denton@enron.com,2011-11,2
rhonda.denton@enron.com,2011-12,9
sally.beck@enron.com,2010-01,1
sally.beck@enron.com,2010-02,3
sally.beck@enron.com,2010-03,8
sally.beck@enron.com,2010-04,4
sally.beck@enron.com,2010-05,8
sally.beck@enron.com,2010-06,10
sally.beck@enron.com,2010-07,9
sally.beck@enron.com,2010-08,12
sally.beck@enron.com,2010-09,6
sally.beck@enron.com,2010-10,4
sally.beck@enron.com,2010-11,9
sally.beck@enron.com,2010-12,7
sally.beck@enron.com,2011-01,8
sally.beck@enron.com,2011-02,4
sally.beck@enron.com,2011-03,2
sally.beck@enron.com,2011-04,0
sally.beck@enron.com,2011-05,6
sally.beck@enron.com,2011-06,0
sally.beck@enron.com,2011-07,9
sally.beck@enron.com,2011-08,8
sally.beck@enron.com,2011-09,1
sally.beck@enron.com,2011-10,4
sally.beck@enron.com,2011-11,5
sally.beck@enron.com,2011-12,6
